City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,khamis mushait,18.3064,42.7292,287.73,58,0,0.0,SA,1708745521
247,bartlesville,36.7473,-95.9808,288.12,38,0,2.06,US,1708693400
248,tamanrasset,22.785,5.5228,284.1,17,0,2.06,DZ,1708754650
249,qoryooley,1.7878,44.53,298.17,72,99,5.58,SO,1708744394
250,pekan,3.4836,103.3996,299.21,70,11,3.7,MY,1708730337
251,dakhla,23.6848,-15.958,291.37,87,1,7.96,EH,1708759844
252,watampone,-4.5386,120.3279,303.57,70,24,0.72,ID,1708725942
253,punta arenas,-53.15,-70.9167,282.21,61,0,2.57,CL,1708682235
254,fort drum,44.0584,-75.7619,272.52,79,100,5.66,US,1708689061
255,port saint john's,-31.6229,29.5448,296.43,89,21,3.27,ZA,1708746431
256,foca,38.6703,26.7566,286.06,83,3,5.38,TR,1708750413
257,xapuri,-10.6517,-68.5044,296.44,99,100,0.89,BR,1708684596
258,puerto armuelles,8.2833,-82.8667,301.14,54,4,1.79,PA,1708688850
259,padang,-0.9492,100.3543,302.18,85,100,0.57,ID,1708730885
260,robore,-18.3333,-59.75,297.91,82,100,1.78,BO,1708682141
261,sodra sandby,56.5667,16.6167,275.87,92,100,4.39,SE,1708754439
262,kazan,55.7887,49.1221,259.49,93,13,2.63,RU,1708746552
263,tarko-sale,64.9225,77.785,250.9,98,80,5.67,RU,1708741202
264,tughyl,47.7252,84.2063,259.65,91,100,2.88,KZ,1708737312
265,basotu,-4.3667,35.0833,288.3,76,77,3.01,TZ,1708746408
266,anda,46.4,125.3167,265.48,60,97,2.92,CN,1708727346
267,saudarkrokur,65.7461,-19.6394,271.01,93,99,6.32,IS,1708764715
268,caleta de carquin,-11.0925,-77.6267,297.48,85,41,4.56,PE,1708686766
269,obudu,6.6674,9.1716,299.1,28,100,1.56,NG,1708753079
270,hengchun,22.0042,120.7439,295.91,69,13,7.82,TW,1708726975
271,chalons-en-champagne,48.9539,4.3672,278.19,94,92,5.02,FR,1708756557
272,quellon,-43.1167,-73.6167,284.2,81,100,3.33,CL,1708683931
273,tadine,-21.55,167.8833,300.66,70,100,5.76,NC,1708713761
274,vyerkhnyadzvinsk,55.7815,27.9443,277.24,97,100,4.09,BY,1708751626
275,fraserburgh,57.6874,-2.0184,277.1,71,28,2.24,GB,1708759052
276,port isabel,26.0734,-97.2086,292.17,68,0,3.6,US,1708693100
277,el abiodh sidi cheikh,32.893,0.5484,280.99,63,100,8.17,DZ,1708756354
278,bridgewater,44.3835,-64.5155,278.21,98,100,5.14,CA,1708686390
279,san antonio de pale,-1.4014,5.6325,299.83,85,100,4.31,GQ,1708753598
280,mogocha,53.7333,119.7667,259.4,84,97,0.37,RU,1708729382
281,lebanon,36.2081,-86.2911,285.27,50,0,2.06,US,1708691043
282,guarapari,-20.6667,-40.4975,299.76,94,73,4.58,BR,1708677404
283,ola,59.5833,151.2833,258.23,63,99,4.54,RU,1708722605
284,atafu village,-8.5421,-172.5159,302.59,69,20,5.19,TK,1708796059
285,afua,-0.1567,-50.3867,297.34,94,77,2.01,BR,1708680700
286,narimanov,46.6927,47.8498,265.1,64,0,3.84,RU,1708745939
287,murzuq,25.9155,13.9184,286.74,37,0,3.96,LY,1708752785
288,suntar,62.1444,117.6319,249.18,100,100,1.23,RU,1708731098
289,villa gesell,-37.2639,-56.973,293.18,80,98,10.18,AR,1708680387
290,chibougamau,49.9168,-74.3659,250.94,77,20,4.12,CA,1708689233
291,colchani,-20.3,-66.9333,287.62,43,46,2.85,BO,1708683769
292,kolonia town,6.964,158.206,302.21,79,100,5.14,FM,1708717331
293,kolonia,50.9333,6.95,279.24,82,40,3.6,DE,1708756124
294,kiruna,67.8557,20.2251,271.66,93,75,5.66,SE,1708755724
295,taber,49.8167,-112.1518,279.26,49,7,14.92,CA,1708698280
296,nemuro,43.3236,145.575,265.93,54,4,3.01,JP,1708722247
297,beau vallon,-20.4189,57.6953,298.82,94,75,1.54,MU,1708740269
298,ocean shores,46.9737,-124.1563,283.12,89,6,2.24,US,1708700900
299,makokou,0.5738,12.8642,295.14,98,100,1.35,GA,1708751944
300,santana,-0.0583,-51.1817,301.25,83,20,2.06,BR,1708680895
301,tver,56.8619,35.8931,272.2,88,100,4.47,RU,1708749859
302,kirensk,57.7853,108.1119,252.02,96,100,1.79,RU,1708732682
303,puerto deseado,-47.7503,-65.8938,284.25,56,18,4.11,AR,1708681646
304,callao,-12.0667,-77.15,298.31,78,0,7.72,PE,1708686608
305,nar'yan-mar,67.6713,53.087,272.1,94,100,7.6,RU,1708747807
306,tavrichanka,43.3378,131.8639,268.07,47,8,1.76,RU,1708725536
307,ixtapa,20.7,-105.2,296.61,83,99,0.89,MX,1708694757
308,yatou,37.15,122.3833,273.8,81,100,3.02,CN,1708727388
309,ust'-ordynskiy,52.805,104.7508,246.52,99,100,0.22,RU,1708732878
310,machico,32.7,-16.7667,289.82,70,40,2.57,PT,1708760496
311,tralee,52.2704,-9.7026,279.61,83,73,8.88,IE,1708760249
312,humahuaca,-23.2054,-65.3505,287.98,75,97,1.97,AR,1708683242
313,trairi,-3.2778,-39.2689,298.94,83,100,1.61,BR,1708677900
314,severo-yeniseyskiy,60.3725,93.0408,246.8,99,100,1.34,RU,1708736681
315,san andres,12.5847,-81.7006,300.16,65,20,3.09,CO,1708688755
316,papao,-17.75,-149.55,301.97,71,100,0.81,PF,1708703726
317,alenquer,-1.9417,-54.7383,300.5,67,82,2.08,BR,1708681669
318,las heras,-46.5419,-68.9359,286.56,31,50,3.56,AR,1708682496
319,namibe,-15.1961,12.1522,297.26,85,100,1.79,AO,1708751446
320,malpica,43.3228,-8.8105,282.24,84,84,7.71,ES,1708759259
321,kralendijk,12.15,-68.2667,299.14,83,20,4.63,BQ,1708685513
322,cole harbour,44.6724,-63.4751,277.0,96,100,4.02,CA,1708686164
323,usinsk,65.9939,57.5281,266.52,94,100,9.39,RU,1708746302
324,goundi,9.3627,17.366,299.74,26,63,3.91,TD,1708751224
325,chegdomyn,51.1167,133.0167,253.38,91,88,0.89,RU,1708725929
326,walvis bay,-22.9575,14.5053,289.68,88,0,3.66,NA,1708750513
327,portage la prairie,49.9728,-98.2926,265.99,62,67,4.17,CA,1708694973
328,zinjibar,13.1287,45.3807,296.9,77,98,3.73,YE,1708744660
329,dalby,-27.1833,151.2667,296.75,77,100,1.04,AU,1708717456
330,moss,59.434,10.6577,277.5,87,75,4.63,NO,1708756267
331,timbiras,-4.2553,-43.9406,296.41,97,100,1.09,BR,1708678979
332,trinidad,-14.8333,-64.9,296.86,98,100,1.83,BO,1708683542
333,pangai,-19.8,-174.35,300.21,94,75,5.66,TO,1708796006
334,santa ana,33.7456,-117.8678,297.16,42,75,3.6,US,1708698468
335,motueka,-41.1333,173.0167,296.54,50,68,2.8,NZ,1708711325
336,cuenca,-2.8833,-78.9833,288.22,77,75,3.6,EC,1708687448
337,svetlyy,54.675,20.1347,281.13,88,100,2.82,RU,1708753364
338,banff,51.1762,-115.5698,277.72,41,100,5.14,CA,1708699234
339,kampene,-3.6,26.6667,293.98,98,100,0.66,CD,1708748460
340,iquique,-20.2208,-70.1431,297.17,75,14,3.19,CL,1708684544
341,gumdag,39.2061,54.5906,276.08,52,100,8.14,TM,1708743774
342,brookings,44.3114,-96.7984,272.15,86,100,3.6,US,1708694124
343,itaituba,-4.2761,-55.9836,298.11,79,55,0.95,BR,1708681868
344,sungai penuh,-2.0833,101.3833,292.89,95,100,0.74,ID,1708730591
345,ortakoy,38.7373,34.0387,269.29,64,5,1.15,TR,1708748672
346,sao gabriel da cachoeira,-0.1303,-67.0892,299.32,68,26,0.23,BR,1708684710
347,chernyshevskiy,63.0128,112.4714,249.26,98,100,0.77,RU,1708732498
348,quang ngai,15.1167,108.8,299.0,68,27,0.93,VN,1708729531
349,phan rang-thap cham,11.5667,108.9833,302.0,58,2,4.33,VN,1708729335
350,piti village,13.4626,144.6933,302.64,75,100,8.75,GU,1708720848
